item,user,rating
242,196,3
302,186,3
377,22,1
51,244,2
346,166,1
474,298,4
265,115,2
465,253,5
451,305,3
86,6,3
257,62,2
1014,286,5
222,200,5
40,210,3
29,224,3
785,303,3
387,122,5
274,194,2
1042,291,4
1184,234,2
392,119,4
486,167,4
144,299,4
118,291,2
1,308,4
546,95,2
95,38,5
768,102,2
277,63,4
234,160,5
246,50,3
98,301,4
193,225,4
88,290,4
194,97,3
274,157,4
1081,181,1
603,278,5
796,276,1
32,7,4
16,10,4
304,284,4
979,201,2
564,276,3
327,287,5
201,246,5
1137,242,5
241,249,5
4,99,5
332,178,3
100,251,4
432,81,2
322,260,4
181,25,5
196,59,5
679,72,2
384,87,4
143,290,5
423,42,5
515,292,4
20,115,3
288,20,1
219,201,4
526,13,3
919,246,4
26,138,5
232,167,1
427,60,5
304,57,5
274,223,4
512,189,4
15,243,3
1049,92,1
416,246,3
165,194,4
690,241,2
248,178,4
1444,254,3
5,293,3
229,127,5
237,225,5
229,299,3
480,225,5
54,276,3
144,291,5
366,222,4
518,267,5
403,42,3
111,11,4
625,95,4
338,8,4
25,162,4
1016,87,4
154,279,5
275,145,2
1153,119,5
498,62,4
382,62,3
209,28,4
23,135,4
294,32,3
382,90,5
208,286,4
685,293,3
144,216,4
328,166,5
496,250,4
132,271,5
174,160,5
118,265,4
498,198,3
96,42,5
151,168,5
307,110,4
144,58,4
648,90,4
346,271,4
21,62,3
832,279,3
514,237,4
789,94,4
485,128,3
317,298,4
195,44,5
200,264,5
385,194,2
195,72,5
750,222,5
264,250,3
265,41,3
245,224,3
135,82,3
1147,262,4
471,293,3
658,216,3
140,250,3
23,59,5
379,286,5
815,244,4
479,7,4
368,174,1
274,87,4
1211,194,2
1134,82,2
836,13,2
272,13,4
756,244,2
427,305,5
787,95,2
14,43,2
955,299,4
419,57,3
405,84,3
504,269,4
111,299,3
466,194,4
135,160,4
268,99,3
486,10,4
117,259,4
427,85,3
919,303,4
273,213,5
514,121,3
98,90,5
559,49,2
794,42,3
323,155,2
117,68,4
177,172,4
4,19,4
231,268,4
2,5,3
117,305,2
294,44,4
137,43,4
1336,279,1
466,80,5
164,254,4
281,298,3
1240,279,1
298,66,4
443,18,3
1035,268,2
79,99,4
98,13,4
258,26,3
455,7,4
755,222,4
673,200,5
328,119,4
172,213,5
322,276,3
1217,94,3
379,130,4
328,38,4
719,160,3
1267,293,3
930,26,2
216,130,4
1079,92,3
452,256,4
61,1,4
48,72,4
755,56,3
360,13,4
405,15,2
77,92,3
476,207,2
174,292,5
483,232,5
748,251,2
26,224,3
220,181,4
255,259,4
471,305,4
280,52,3
202,161,5
408,148,5
235,125,2
228,97,5
1098,58,4
234,83,4
347,90,4
178,272,5
181,194,3
478,125,4
688,110,1
14,299,4
10,151,5
127,269,4
14,6,5
106,54,3
69,303,5
944,16,1
790,301,4
1091,276,3
214,305,2
1028,194,2
323,91,2
554,87,4
109,294,4
171,286,4
318,200,5
328,229,1
568,178,4
842,303,2
65,62,4
591,207,3
172,92,4
401,301,4
339,36,5
746,70,3
242,63,3
201,28,3
68,279,4
7,250,4
98,14,3
1018,299,3
54,194,3
815,303,3
237,119,5
218,295,5
930,268,2
2,268,2
258,66,4
202,233,5
623,83,4
334,214,3
476,192,2
344,100,4
145,268,1
56,301,4
89,307,5
141,234,3
576,83,4
264,181,2
133,297,4
153,38,5
382,7,4
813,264,4
872,181,1
146,201,1
507,85,4
367,269,3
468,59,3
143,286,4
96,193,1
595,113,5
11,292,5
1014,130,3
98,275,4
520,189,5
82,219,1
209,218,5
427,123,3
222,119,5
177,158,4
118,222,4
322,302,2
501,279,3
79,301,5
3,181,2
695,201,1
198,13,3
189,1,3
237,145,5
385,23,4
767,201,4
705,296,5
546,42,3
872,33,3
554,301,3
64,16,5
135,95,3
357,154,4
484,77,5
508,296,5
303,302,2
673,244,3
77,222,4
215,13,5
705,16,5
452,270,4
15,145,2
64,187,5
304,200,5
749,170,5
829,101,3
218,184,3
204,128,4
1295,181,1
153,184,3
33,1,4
160,1,4
321,184,5
595,54,3
343,94,4
508,128,4
323,23,2
227,301,3
191,301,3
903,112,1
183,82,3
724,222,3
430,218,3
1197,308,4
134,303,5
751,133,3
212,215,2
256,69,5
662,254,4
2,276,4
984,104,1
1067,63,3
410,267,4
56,13,5
879,240,3
237,286,2
271,294,5
1086,90,4
26,18,4
229,92,3
649,308,4
89,144,3
302,191,4
951,59,3
96,200,5
197,16,5
678,61,3
199,271,4
709,271,3
169,142,5
597,275,3
151,222,3
40,87,3
258,207,4
1393,272,2
333,177,4
1115,207,2
577,299,3
378,271,4
425,305,4
959,49,2
1224,94,3
1017,130,3
175,10,3
321,203,3
286,191,4
323,43,3
558,21,5
96,197,5
344,13,2
66,194,3
206,234,4
402,308,4
640,308,4
522,269,5
265,94,4
62,268,3
12,272,5
291,121,3
20,296,5
286,134,3
462,180,5
612,234,3
117,104,2
758,38,1
845,269,1
163,7,4
1451,234,3
405,275,2
250,52,3
823,102,3
186,13,4
731,178,4
71,236,3
781,256,5
176,263,5
186,244,3
1181,279,4
815,43,4
78,83,2
197,151,5
436,254,2
631,109,3
716,297,3
188,249,4
699,144,4
604,301,4
392,64,3
501,92,2
97,222,4
436,268,3
135,293,5
173,213,5
460,160,2
498,13,4
715,59,5
17,5,4
163,125,5
315,174,5
505,114,3
515,213,4
196,23,2
15,128,4
56,239,4
279,181,1
80,291,4
238,250,4
649,201,3
60,60,5
325,181,2
407,119,3
1,287,5
228,216,3
531,216,4
471,203,4
587,92,3
892,13,3
176,213,4
288,286,5
1047,117,2
111,99,1
558,11,3
47,65,2
194,295,4
217,269,2
259,85,2
596,250,5
144,137,5
960,201,2
137,257,4
328,111,4
480,91,4
211,215,4
938,181,1
1060,189,5
20,1,4
404,303,4
305,299,3
210,187,4
278,222,2
568,214,4
770,293,3
191,285,4
252,303,3
156,96,4
1110,72,3
1067,115,4
430,7,3
350,116,3
480,73,4
246,269,5
419,263,5
431,70,3
475,221,4
182,72,5
357,25,4
50,290,5
